Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
195853531,Lore of the Wilds,Analeigh Sbrana,"Sbrana, Analeigh",,"=""0063380595""","=""9780063380592""",0,4.24,Harper Voyager,Hardcover,352,2024,2024,,2023/12/22,"to-read, fae, fantasy, romance","to-read (#360), fae (#52), fantasy (#353), romance (#219)",to-read,,,,0,0
150247395,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820702""","=""9781984820709""",0,4.37,Del Rey,Hardcover,432,2024,2024,,2023/12/22,"to-read, series, urban-fantasy","to-read (#359), series (#350), urban-fantasy (#86)",to-read,,,,0,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis  Baldree,"Baldree, Travis",,"=""""","=""""",0,4.17,Tor,Kindle Edition,296,2022,2022,,2023/12/22,"to-read, fantasy, romance, series","to-read (#358), fantasy (#352), romance (#218), series (#349)",to-read,,,,0,0
124941442,"Sunbringer (Fallen Gods, #2)",Hannah Kaner,"Kaner, Hannah",,"=""0008521514""","=""9780008521516""",0,4.36,HarperVoyager,Hardcover,400,2024,2024,,2023/12/15,"to-read, fantasy, series","to-read (#1), fantasy (#351), series (#348)",to-read,,,,0,0
8070049,"Winter's Passage (Iron Fey, #1.5)",Julie Kagawa,"Kagawa, Julie",,"=""1426858329""","=""9781426858321""",2,3.93,Harlequin Teen,ebook,59,2010,2010,,2023/11/20,"fae, romance, series, young-adult","fae (#51), romance (#217), series (#347), young-adult (#142)",read,,,,1,0
6250169,"Unseen Academicals (Discworld, #37; Rincewind, #8)",Terry Pratchett,"Pratchett, Terry",,"=""0061161705""","=""9780061161704""",5,4.00,HarperCollins,Hardcover,417,2009,2009,,2023/11/20,"fantasy, series","fantasy (#350), series (#346)",read,,,,1,0
61215372,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.48,William Morrow,Kindle Edition,448,2022,1954,,2023/11/20,"fantasy, series","fantasy (#349), series (#345)",read,,,,1,0
288680,"The Truth (Discworld, #25; Industrial Revolution, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0552147680""","=""9780552147682""",5,4.40,Corgi,Mass Market Paperback,444,2001,2000,,2023/11/20,"fantasy, series","fantasy (#348), series (#344)",read,,,,1,0
61884932,Thornhedge,T. Kingfisher,"Kingfisher, T.",,"=""1250244099""","=""9781250244093""",4,4.09,Tor Books,Hardcover,116,2023,2023,,2023/12/16,fairytale-retelling,fairytale-retelling (#41),read,,,,0,0
41015844,"The Royal Ranger: A New Beginning (Ranger's Apprentice: The Royal Ranger, #1)",John Flanagan,"Flanagan, John",,"=""1101638613""","=""""",4,4.27,Puffin Books,Kindle Edition,460,2013,2013,,2023/11/20,"series, young-adult, fantasy","series (#343), young-adult (#141), fantasy (#347)",read,,,,1,0
1524173,"The Sorcerer in the North (Ranger's Apprentice, #5)",John Flanagan,"Flanagan, John",,"=""1741661285""","=""9781741661286""",5,4.27,Penguin Group (USA),Paperback,304,2009,2006,,2023/11/20,"fantasy, series, young-adult","fantasy (#346), series (#342), young-adult (#140)",read,,,,1,0
8785374,"Snuff (Discworld, #39; City Watch, #8)",Terry Pratchett,"Pratchett, Terry",,"=""038561926X""","=""9780385619264""",5,4.18,Doubleday UK,Hardcover,378,2011,2011,,2023/11/20,"fantasy, series","fantasy (#345), series (#341)",read,,,,1,0
